Ajatempel,What group are you observing?,What is the level of engagement of each student in solving the task? (please mark all that apply) [Student A],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student B],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student C],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student D],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student E],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student F],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student G],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student H],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student I],"Please write down any other comment you have, notes or notable events during these 5 minutes"
11/8/2017 12:27:21,Group 4,"Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,
11/8/2017 12:30:01,Group 3,"Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,
11/8/2017 12:30:03,Group 2,"Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,
11/8/2017 12:30:07,Group 1,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,
11/8/2017 12:32:37,Group 4,"Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,
11/8/2017 12:35:07,Group 3,"Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,
11/8/2017 12:35:19,Group 2,"Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,
11/8/2017 12:36:00,Group 1,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,
11/8/2017 12:37:26,Group 4,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,,,,
11/8/2017 12:39:49,Group 3,"Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,"opetaja laheb ise juhendama gruppi a,b,c "
11/8/2017 12:40:08,Group 2,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,
11/8/2017 12:40:24,Group 1,"Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,
11/8/2017 12:43:25,Group 4,"Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,
11/8/2017 12:44:18,Group 3,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,
11/8/2017 12:45:13,Group 2,"Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,
11/8/2017 12:45:39,Group 1,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,
11/8/2017 12:45:57,Group 3,"Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,,,,
11/8/2017 12:48:05,Group 4,"Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,
11/8/2017 12:49:32,Group 3,"Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,,,,
11/8/2017 12:50:08,Group 2,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,
11/8/2017 12:50:31,Group 1,"Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,
11/8/2017 12:53:31,Group 4,"Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,
11/8/2017 12:54:52,Group 3,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,,,,
11/8/2017 12:55:10,Group 1,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,
11/8/2017 12:55:58,Group 4,"Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,
11/8/2017 12:58:17,Group 3,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,,,,
11/8/2017 12:59:36,Group 4,"Interacting with technology (e.g., phone, answer forms) to solve the task",,"Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task",,,,,
11/8/2017 13:05:10,Group 4,"Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task",,,,,
11/8/2017 13:05:12,Group 2,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,
11/8/2017 13:05:25,Group 1,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,
11/8/2017 13:05:32,Group 3,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,"algas 4 tootuba, opetaja selgitab koigepealt koigepealt, siis lahkub 3minutil"
11/8/2017 13:09:11,Group 4,"Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task",,,,,
11/8/2017 13:10:21,Group 2,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,
11/8/2017 13:10:23,Group 3,"Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,,,,
11/8/2017 13:12:29,Group 1,"Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,
11/8/2017 13:14:11,Group 4,"Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,
11/8/2017 13:14:11,Group 3,"Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,,,,
11/8/2017 13:15:22,Group 2,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,
11/8/2017 13:15:36,Group 1,"Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,
11/8/2017 13:19:34,Group 3,"Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,,,,other resources - katsevahendid
11/8/2017 13:20:22,Group 2,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,
11/8/2017 13:20:31,Group 1,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,,,,,
