Timestamp,What group are you observing?,In which task are they?,What is the level of engagement of each student in solving the task? (please mark all that apply) [Student A],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student B],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student C],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student D],What is the level of engagement of each student in solving the task? (please mark all that apply) [Student E],"Please write down some short notes about what the group is doing, especially: what activity they are performing, which student is writing in the diary, whether they are collaborating or rather cooperating, and other problems you may perceive in the collaboration dynamic"
06/12/2017 11:52:08,Group 3,Suitsusignaal - Smoke,"Totally disengaged, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Totally disengaged, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Totally disengaged, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Totally disengaged, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,Дети сняли халаты. Ушли из лаборатории. Дети заинтерисовались другой комнатой. Вернултсь в комнату свою.
06/12/2017 11:52:44,Group 2,Koordinaatide org - Coordinates,Totally disengaged,"Interacting with external people (observers, teachers, people in the street) to solve the task",Looking to others as they try to solve the task,"Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with external people (observers, teachers, people in the street) to solve the task",Lunch time
06/12/2017 11:52:56,Group 1,Koordinaatide org - Coordinates,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Looking to others as they try to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Talking with their group peers to solve the task,Talking with their group peers to solve the task,Na
06/12/2017 11:55:01,Group 5,,Totally disengaged,Totally disengaged,Totally disengaged,Totally disengaged,,They make a break with group 3 to eat some food. Coming back at 12:10
06/12/2017 11:55:38,Group 4,Koordinaatide org - Coordinates,Totally disengaged,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Totally disengaged, Looking to others as they try to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,"B D still on task, trying to understand the instructions, the others still playing around."
06/12/2017 12:00:22,Group 4,Koordinaatide org - Coordinates,Totally disengaged,Totally disengaged,Totally disengaged,Totally disengaged,,"The other group completely broke down, came to this group table. they are now all mostly off task, playing with some pottery tablet app."
06/12/2017 12:00:33,Group 2,Suitsusignaal - Smoke,Looking to others as they try to solve the task,Looking to others as they try to solve the task,Looking to others as they try to solve the task,"Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with external people (observers, teachers, people in the street) to solve the task",Teacher is asking questions in chemistry lab and D is answering for two groups
06/12/2017 12:04:35,Group 2,Suitsusignaal - Smoke,Looking to others as they try to solve the task,"Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",Looking to others as they try to solve the task,"Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",Two groups are doing at the same time
06/12/2017 12:05:02,Group 4,Koordinaatide org - Coordinates,Totally disengaged,Totally disengaged,Totally disengaged,Totally disengaged,,"Still playing, off task"
06/12/2017 12:08:23,Group 2,Suitsusignaal - Smoke,Looking to others as they try to solve the task,"Interacting with external people (observers, teachers, people in the street) to solve the task",Looking to others as they try to solve the task,"Interacting with external people (observers, teachers, people in the street) to solve the task",Looking to others as they try to solve the task,Teacher is interacting and showing the fire from chemical
06/12/2017 12:10:45,Group 4,Koordinaatide org - Coordinates,"Looking to others as they try to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,"Teacher comes to help them with the instructions. D types in the tablet and writes with our on map, the others look. Their usual teacher comes to monitor"
06/12/2017 12:11:30,Group 2,Suitsusignaal - Smoke,"Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",Looking to others as they try to solve the task,Looking to others as they try to solve the task,Looking to others as they try to solve the task,Looking to others as they try to solve the task,Two groups are working together
06/12/2017 12:14:14,Group 3,Koordinaatide org - Coordinates,"Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,Слушают взрослого. Смотрят в планшет
06/12/2017 12:15:46,Group 4,Koordinaatide org - Coordinates,Totally disengaged,"Totally disengaged, Looking to others as they try to solve the task","Totally disengaged, Looking to others as they try to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,"Some of them start having a snack. D still on task. Usual teacher in the room, but does not say anything. Some other groups a teachers come to the room, then all go have the break."
06/12/2017 12:16:23,Group 5,Koordinaatide org - Coordinates,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Looking to others as they try to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,Aleks comes to speed up the activity and put the students to work. A is the most active one and prompts his colleagues to work. C seems frustrated with the activity
06/12/2017 12:16:53,Group 3,Koordinaatide org - Coordinates,,"Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,А- на стуле подвинулся к другой гркппе.d-печатает на планшете. А- сидит на стуле в стороге отдельно. 
06/12/2017 12:19:47,Group 3,Koordinaatide org - Coordinates,"Totally disengaged, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task",,А- крутится отдельно на стуле и ищет в интернете и общается с другой группой. D- печатает ответы. Дети ищут ответ в интернете. 
06/12/2017 12:20:20,Group 5,Koordinaatide org - Coordinates,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Interacting with external people (observers, teachers, people in the street) to solve the task",,They discuss with group 3 and with their school teacher about the activity
06/12/2017 12:22:14,Group 3,Koordinaatide org - Coordinates,"Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,С-предложила смешать группы. В- седа в стороне. Д- печатает ответы.
06/12/2017 12:24:28,Group 3,Koordinaatide org - Coordinates,"Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,С- общается с членом другой команды сментся. Д- печатает. А- ищет в интернете. В- не участвует стдит в стороне. 
06/12/2017 12:25:11,Group 5,Koordinaatide org - Coordinates,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Looking to others as they try to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Looking to others as they try to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,They work with group 3 to solve the activity together. A is the most active. C and B follow a bit. D is totally out of task
06/12/2017 12:27:18,Group 3,Koordinaatide org - Coordinates,"Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Totally disengaged, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,Д- рпдуется что все сделал. С просто смотрит на всех. Ад делают вместе. Дети отстояли у взррслого делать заданиевместе
06/12/2017 12:30:11,Group 3,Koordinaatide org - Coordinates,"Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,Bd нашли карту. По очереди читают острова
06/12/2017 12:30:46,Group 5,Koordinaatide org - Coordinates,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Looking to others as they try to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Looking to others as they try to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,Aleks comes to help the students. group 3 and 5 keep on working together
06/12/2017 12:31:37,Group 3,Ohukraater - Survival,"Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,А- сидит в стороне. Дети идут в другую комнату
06/12/2017 12:33:53,Group 5,Koordinaatide org - Coordinates,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,C deals with the map. A with the technology. They all move to room 416. They discuss with group 3
06/12/2017 12:39:30,Group 2,Ohukraater - Survival,"Looking to others as they try to solve the task, Talking with their group peers to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Showing flag to each other
06/12/2017 12:39:35,Group 5,Ohukraater - Survival,"Looking to others as they try to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Totally disengaged, Looking to others as they try to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Totally disengaged, Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,The new activity starts. All the students are in the same room. Aleks and Elle lead the activity
06/12/2017 12:44:14,Group 5,Ohukraater - Survival,,,,,,They start the kahuut activity
06/12/2017 13:16:42,Group 3,"Pääsemise laht - Smoke, morse and final report","Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Interacting with technology (e.g., phone, answer forms) to solve the task","Totally disengaged, Looking to others as they try to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Teachers came to say something, direct the students a bit."
06/12/2017 13:19:46,Group 2,Ohukraater - Survival,Totally disengaged,Talking with their group peers to solve the task,"Looking to others as they try to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Talking with their group peers to solve the task,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Playing games 
06/12/2017 13:20:08,Group 5,"Pääsemise laht - Smoke, morse and final report","Totally disengaged, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Looking to others as they try to solve the task, Talking with their group peers to solve the task","Totally disengaged, Looking to others as they try to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,A is playing with the laptop at the beginning. The 4 of them are bored. D innitiates the activity. Aleks comes to push the students. A and D are reading the activity description. Some problems with the internet band
06/12/2017 13:21:25,Group 4,"Pääsemise laht - Smoke, morse and final report",Totally disengaged,"Totally disengaged, Interacting with technology (e.g., phone, answer forms) to solve the task",Totally disengaged,"Totally disengaged, Interacting with technology (e.g., phone, answer forms) to solve the task",,"Back in the room. Playing with the tablets or board. Then, B and D start reading instructions in graasp. They give up and play"
06/12/2017 13:22:24,Group 2,Ohukraater - Survival,"Looking to others as they try to solve the task, Talking with their group peers to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Looking to others as they try to solve the task,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Playing around
06/12/2017 13:23:05,Group 3,"Pääsemise laht - Smoke, morse and final report","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",Totally disengaged,"D an B are reading instructions from the tablet, c is doing something on the phone, a is also reading the instructions on a different tablet. Teacher give some further thoughts. One member of the group left. Students don't seem to understand, they are googling the vocabulary."
06/12/2017 13:25:04,Group 5,"Pääsemise laht - Smoke, morse and final report","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Totally disengaged, Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,Problems downloading video due to internet. A and D are seeing the video. B c and d are quite tired. Kids from group 3 come to discuss some activities
06/12/2017 13:25:45,Group 3,"Pääsemise laht - Smoke, morse and final report","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",Totally disengaged,A said they have a problem. 
06/12/2017 13:25:59,Group 1,Ohukraater - Survival,"Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Looking to others as they try to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Talking with their group peers to solve the task,,"Looking to others as they try to solve the task, Talking with their group peers to solve the task","D left the group, there is lack of interest to do the activity, they look skeptical and they left the class and they returned back "
06/12/2017 13:26:35,Group 4,"Pääsemise laht - Smoke, morse and final report","Totally disengaged, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Looking to others as they try to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,"Teacher comes and tells them what to do. Teacher send to have some kind of discussion with one student, then goes. BD continue trying to focus and understand the task, A just fools around"
06/12/2017 13:29:51,Group 2,Ohukraater - Survival,Totally disengaged,"Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Looking to others as they try to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task",Translating the text
06/12/2017 13:30:16,Group 4,"Pääsemise laht - Smoke, morse and final report",Totally disengaged,"Totally disengaged, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Totally disengaged,"Totally disengaged, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,"D gives up, they all play. BD again come back to graasp and try to work on the tablets."
06/12/2017 13:30:23,Group 5,"Pääsemise laht - Smoke, morse and final report","Totally disengaged, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Totally disengaged, Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Interacting with technology (e.g., phone, answer forms) to solve the task",,A is writing the answers to the activity. D is reading the description. There's some interaction with group 3. B is rereading the activity for others. All them are loosing interest
06/12/2017 13:30:42,Group 3,"Pääsemise laht - Smoke, morse and final report","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Moving around forming smaller groups where they seem to discuss the task. A often goes to consult with the other group. The teacher (didactic) came back again to check on the group. 
06/12/2017 13:34:14,Group 4,"Pääsemise laht - Smoke, morse and final report",Totally disengaged,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Totally disengaged, Looking to others as they try to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,"BD read instructions, occasionally taking and translating weird a phone. Teacher comes and asks how it's going."
06/12/2017 13:35:24,Group 5,"Pääsemise laht - Smoke, morse and final report","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",,Aleks comes to activate them. C is very motivated with the Morse activity. All the students become engaged again. All of them contribute to descript the message while C writes the message in the paper.
06/12/2017 13:35:38,Group 1,Ohukraater - Survival,"Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task",,"Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","They are not discussing, A, B and C working on mobile and E on tablet and sheet, they went too"
06/12/2017 13:35:47,Group 3,"Pääsemise laht - Smoke, morse and final report","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","B and e watching a youtube video. C and d solving the morse code. By now the entire group seems to be really engaged with the task. B and e a little less,  and started now playing a game. "
06/12/2017 13:39:55,Group 3,"Pääsemise laht - Smoke, morse and final report","Totally disengaged, Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Interacting with technology (e.g., phone, answer forms) to solve the task","Totally disengaged, Interacting with technology (e.g., phone, answer forms) to solve the task",Totally disengaged,"Totally disengaged, Interacting with technology (e.g., phone, answer forms) to solve the task","Not sure what happened now... Looks like everyone is doing their own thing...some interacting, some riding on the chairs,  some visiting the other group.. "
06/12/2017 13:40:03,Group 4,"Pääsemise laht - Smoke, morse and final report","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task",Looking to others as they try to solve the task,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,"Looks like they now know what to do, start writing on paper about the Morse code, all again on task. A tells symbols, B writes down. The others talk and look, then they go to report"
06/12/2017 13:40:12,Group 1,"Pääsemise laht - Smoke, morse and final report","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Totally disengaged, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Teacher providING instructions for feedback report, and they are discussing but B is not interactive "
06/12/2017 13:40:47,Group 5,"Pääsemise laht - Smoke, morse and final report","Totally disengaged, Interacting with external people (observers, teachers, people in the street) to solve the task",Totally disengaged,Totally disengaged,Totally disengaged,,"A asks me some vocabulary. They discover the goal together but then don't do anything. B,c and D go to find the materials for the raft but come back with empty hands. Again they are disengaged. Both groups, 3 and 5, are totally disangaged. B gets ready to leave. A is playing games in the tablet"
06/12/2017 13:43:47,Group 3,"Pääsemise laht - Smoke, morse and final report","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,Totally disengaged,"Totally disengaged, Talking with their group peers to solve the task","Interacting with technology (e.g., phone, answer forms) to solve the task","It's hard to say whether they are solving the task or doing smt different. E is creating some pottery in an app on the tablet, B, e and a are a group, c totally separate,  d with the other group "
06/12/2017 13:44:07,Group 5,"Pääsemise laht - Smoke, morse and final report",Totally disengaged,Totally disengaged,Totally disengaged,Totally disengaged,,They are playing with the devices. No activity is being done. They are totally out of scope. Group3 and 5 are all out of task. The mutual example doesn't help. 
06/12/2017 13:44:13,Group 2,Ohukraater - Survival,"Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with other resources (e.g., paper, QRs, other physical objects) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task",A and c are actively engaged now
06/12/2017 13:45:07,Group 4,"Pääsemise laht - Smoke, morse and final report","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task, Interacting with external people (observers, teachers, people in the street) to solve the task",,"Teacher comes and assesses, then explains next task. BD grab the tablets and do some forms in graasp, AC look and talk."
06/12/2017 13:45:24,Group 1,"Pääsemise laht - Smoke, morse and final report","Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",Totally disengaged,"Totally disengaged, Looking to others as they try to solve the task, Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task",,"Talking with their group peers to solve the task, Interacting with technology (e.g., phone, answer forms) to solve the task","B not interactive, C not interested looking at another group, A and E working on tablet"
06/12/2017 13:49:01,Group 4,"Pääsemise laht - Smoke, morse and final report","Totally disengaged, Interacting with technology (e.g., phone, answer forms) to solve the task",Totally disengaged,"Interacting with technology (e.g., phone, answer forms) to solve the task",Totally disengaged,,AC's turn now to get tablets and fill in form. The others disengage. They all quickly go back to playing
